"dist" "dfs" "alt" "slo" "flo" "pH" "har" "pho" "nit" "amm" "oxy" "anthro"
"55" 0 3278 231 1.792 3870 79 100 422 620 180 41 "Medium"
"56" 0 3579 214 1.792 3910 79 94 143 300 30 62 "High"
"57" 0 3732 206 2.565 3960 81 90 58 300 26 72 "High"
"58" 0 3947 195 1.386 4320 83 100 74 400 30 81 "Medium"
"59" 1 4220 183 1.946 6770 78 110 45 162 10 90 "Medium"
"60" 0 4530 172 1.099 6900 82 109 65 160 10 82 "High"
"61" 1 3 934 6.176 84 79 45 1 20 0 122 "Low"
"62" 1 22 932 3.434 100 80 40 2 20 10 103 "High"
"63" 1 102 914 3.638 180 83 52 5 22 5 105 "Medium"
"64" 1 185 854 3.497 253 80 72 10 21 0 110 "High"
"65" 1 215 849 3.178 264 81 84 38 52 20 80 "Medium"
"66" 1 324 846 3.497 286 79 60 20 15 0 102 "High"
"67" 1 268 841 4.205 400 81 88 7 15 0 111 "High"
"68" 0 491 792 3.258 130 81 94 20 41 12 70 "Low"
"69" 0 705 752 2.565 480 80 90 30 82 12 72 "Low"
"70" 1 990 617 4.605 1000 77 82 6 75 1 100 "Low"
"71" 1 1234 483 3.738 1990 81 96 30 160 0 115 "Low"
"72" 1 1324 477 2.833 2000 79 86 4 50 0 122 "High"
"73" 1 1436 450 3.091 2110 81 98 6 52 0 124 "Low"
"74" 1 1522 434 2.565 2120 83 98 27 123 0 123 "Low"
"75" 1 1645 415 1.792 2300 86 86 40 100 0 117 "Low"
"76" 1 1859 375 3.045 1610 80 88 20 200 5 103 "Low"
"77" 1 1985 348 1.792 2430 80 92 20 250 20 102 "Medium"
"78" 1 2110 332 2.197 2500 80 90 50 220 20 103 "Medium"
"79" 0 2246 310 1.792 2590 81 84 60 220 15 106 "Medium"
"80" 0 2477 286 2.197 2680 80 86 30 300 30 103 "Medium"
"81" 0 2812 262 2.398 2720 79 85 20 220 10 90 "Medium"
"82" 0 2940 254 2.708 2790 81 88 20 162 7 91 "High"
"83" 0 3043 246 2.565 2880 81 97 260 350 115 63 "Low"
"84" 0 3147 241 1.386 2976 80 99 140 250 60 52 "High"
"85" 0 3278 231 1.792 3870 79 100 422 620 180 41 "Medium"
"86" 0 3579 214 1.792 3910 79 94 143 300 30 62 "High"
"87" 0 3732 206 2.565 3960 81 90 58 300 26 72 "High"
"88" 0 3947 195 1.386 4320 83 100 74 400 30 81 "Medium"
"89" 1 4220 183 1.946 6770 78 110 45 162 10 90 "Medium"
"90" 0 4530 172 1.099 6900 82 109 65 160 10 82 "High"
